genome,region,region_start,region_end,strand,id,gene_symbol,amr_gene_symbol,element_type,element_subtype,drug_class,drug_subclass
PV_CLA-JM-H27,contig_1,1562847,1564773,-1,CDS:PV_CLA-JM-H27_01242,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_CLA-JM-H27,contig_1,4423090,4424050,-1,CDS:PV_CLA-JM-H27_03757,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_CLA-JM-H27,contig_1,5450721,5451048,1,CDS:PV_CLA-JM-H27_04678,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_WH710,contig_1,980959,981925,1,CDS:BU_WH710_00743,per1_1,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_WH710,contig_1,1032414,1033380,1,CDS:BU_WH710_00786,per1_2,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_WH710,contig_1,2430685,2431651,1,CDS:BU_WH710_01929,per1_3,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
BU_WH710,contig_1,3631712,3632621,1,CDS:BU_WH710_02992,per1_4,cblA,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN
BU_WH710,contig_1,4356401,4356728,1,CDS:BU_WH710_03634,arsD,arsD,STRESS,METAL,ARSENIC,ARSENITE
BU_WH710,contig_1,4387688,4388201,-1,CDS:BU_WH710_03665,linA,lnu(AN2),AMR,AMR,LINCOSAMIDE,LINCOSAMIDE
BU_WH710,contig_1,4388225,4389431,-1,CDS:BU_WH710_03666,entS,mef(En2),AMR,AMR,MACROLIDE,MACROLIDE
BU_WH710,contig_1,4811890,4812856,1,CDS:BU_WH710_04021,per1_5,cfxA,AMR,AMR,BETA-LACTAM,BETA-LACTAM
PV_WAL1887,contig_1,1566697,1568623,1,CDS:PV_WAL1887_01316,tet(Q),tet(Q),AMR,AMR,TETRACYCLINE,TETRACYCLINE
PV_WAL1887,contig_2,683108,684068,-1,CDS:PV_WAL1887_03021,per1,bla,AMR,AMR,BETA-LACTAM,BETA-LACTAM
